id,name,type,rarity,base_hp,base_atk,buy_dna,hybrid(0/1),buy_s_dna,s_dna_type,fusion_dna_amount,type_aquatic,battle_in_the_water,flock,buy_amber
0,アランカ,2,common,217,83,120,0,0,0,0,0,0,0,0
1,アルゼンチノサウルス,1,common,281,72,160,0,0,0,0,0,0,0,0
2,グアンロング,0,common,255,80,170,0,0,0,0,0,0,0,0
3,コロボリンクス,2,common,238,91,140,0,0,0,0,0,0,0,5000
4,ディプロカウルス,3,common,284,73,190,0,0,0,0,0,0,0,0
5,トゥオジャンゴサウルス,1,common,274,70,130,0,0,0,0,0,0,0,5000
6,トリケラトプス,1,common,235,73,100,0,0,0,0,0,0,0,0
7,トロペオグナトゥス,2,common,260,81,180,0,0,0,0,0,0,0,0
8,ハツェゴプテリクス,2,common,253,97,200,0,0,0,0,0,0,0,0
9,ペレカニミムス,1,common,266,83,170,0,0,0,0,0,0,0,5000
10,ボニタサウラ,1,common,263,87,150,0,0,0,0,0,0,0,0
11,マジュンガサウルス,0,common,224,86,110,0,0,0,0,0,0,0,0
12,ユタラプトル,0,common,259,99,200,0,0,0,0,0,0,0,0
13,ラビリントドンティア,3,common,236,90,130,0,0,0,0,0,0,0,0
14,リムノスケリス,3,common,266,68,130,0,0,0,0,0,0,0,0
15,アロサウルス,0,rare,440,138,500,0,0,0,0,0,0,0,10000
16,イリタトル,0,rare,400,153,530,0,0,0,0,0,0,0,0
17,イクチオヴェナトル,0,rare,643,198,730,0,0,0,0,0,0,0,0
18,オフィアコドン,0,rare,379,277,780,0,0,0,0,0,0,0,0
19,ガリミムス,1,rare,396,151,580,0,0,0,0,0,0,0,0
20,カルノタウルス,0,rare,419,160,730,0,0,0,0,0,0,0,0
21,ギガノトサウルス,0,rare,476,122,520,0,0,0,0,0,0,0,10000
22,クーラスクス,3,rare,467,146,610,0,0,0,0,0,0,0,0
23,コリトサウルス,1,rare,531,136,630,0,0,0,0,0,0,0,10000
24,ズンガリプテルス,2,rare,386,148,560,0,0,0,0,0,0,0,0
25,タペジャラ,2,rare,428,134,670,0,0,0,0,0,0,0,0
26,ディプロドクス,1,rare,527,135,750,0,0,0,0,0,0,0,0
27,ティラノティタン,0,rare,408,156,710,0,0,0,0,0,0,0,10000
28,ディロフォサウルス,0,rare,396,151,690,0,0,0,0,0,0,0,0
29,ナーストケラトプス,1,rare,489,125,550,0,0,0,0,0,0,0,10000
30,ヌンダスクス,3,rare,632,162,700,0,0,0,0,0,0,0,0
31,パキケファロサウルス,1,rare,452,141,590,0,0,0,0,0,0,0,0
32,ピロラプトル,0,rare,448,171,650,0,0,0,0,0,0,0,10000
